msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0511	0	True	Spot_0	SML GP	unknown	5	9.135000408	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0511', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0512	0	True	Spot_0	SML GP	unknown	5	10.15000016	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0512', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0600	0	False	Spot_0	unknown	unknown	6	2.031999975	59.87499833	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0600', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0601	0	True	Spot_0	SV	unknown	6	3.045999929	36.53400064	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0601', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0602	0	True	Spot_0	CSW	unknown	6	3.045999929	37.54899859	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0602', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0603	0	True	Spot_0	SV	unknown	6	4.0609999	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0603', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0604	0	True	Spot_0	QC MIX22	unknown	6	4.0609999	39.57900167	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0604', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0605	0	True	Spot_0	WB	unknown	6	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0605', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0606	0	True	Spot_0	ULW GP	unknown	6	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0606', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0607	0	True	Spot_0	ULW GP	unknown	6	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0607', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
